Company,Month,Revenue,Expenses,Profit
"Barr, Chapman and Morgan",1999-09,95639.1,85122.35,10516.75
"Chan, Brown and Martinez",2017-10,21053.96,19926.28,1127.6800000000003
Garcia-Lopez,1976-02,66960.74,10530.72,56430.020000000004
"Hernandez, Palmer and Anthony",1975-10,73234.1,31202.18,42031.920000000006
West-Collins,1981-05,71049.21,49051.37,21997.840000000004
Collins Inc,2010-01,69022.52,67990.5,1032.020000000004
Christensen and Sons,1988-06,52163.44,51780.31,383.13000000000466
"Duncan, Stewart and Johnson",1998-06,33236.03,25081.81,8154.2199999999975
Hayes Ltd,1977-04,45856.94,15388.76,30468.18
"Chase, Stone and Mathis",1979-10,56617.11,23557.68,33059.43
Adkins LLC,1983-10,92961.18,82447.98,10513.199999999997
Johnson-Reid,1974-03,82147.08,13280.07,68867.01000000001
"Holmes, Butler and Roberts",1980-09,83158.51,72194.05,10964.459999999992
"Vargas, Fuller and Bates",1996-05,87135.07,27067.51,60067.56000000001
"Cruz, Garcia and Clarke",2011-11,16726.63,13263.46,3463.170000000002
"Neal, Jones and Schwartz",2015-11,32241.12,20645.01,11596.11
"Hood, Mcdowell and Clark",1976-02,68999.14,19600.31,49398.83
Lewis PLC,1990-12,12099.05,10715.7,1383.3499999999985
"Jordan, Kennedy and Edwards",2001-12,78203.68,32348.78,45854.899999999994
Jacobson and Sons,1980-01,20126.22,12816.2,7310.02
"Harrison, Watson and Hunter",1990-08,42010.1,10233.98,31776.12
Smith-Franco,2006-08,98766.84,15952.12,82814.72
Stewart-King,2008-08,14968.34,14115.37,852.9699999999993
Oneal Group,2024-02,21738.39,12526.93,9211.46
Miller-Schaefer,2016-01,32649.59,25602.57,7047.02
"Miranda, Bush and Khan",2022-08,66755.14,36385.56,30369.58
Ford and Sons,2014-05,12194.5,10508.66,1685.8400000000001
"Campbell, Johnson and Moore",2001-12,15111.73,10968.53,4143.199999999999
Gilmore-Gibbs,2016-10,59186.89,55468.02,3718.8700000000026
Miller-Davis,1982-03,65066.1,20125.67,44940.43
"Kirby, Evans and Wu",2009-05,94044.61,20079.45,73965.16
Roy-Watts,1983-11,16079.85,12813.97,3265.880000000001
"Davis, White and Welch",2023-03,13812.45,13160.95,651.5
"Macias, Harding and Fuentes",1984-07,59172.9,18704.04,40468.86
Fuller-Brown,1994-03,44893.11,32786.66,12106.449999999997
Webster-Pierce,2023-10,89514.61,39168.56,50346.05
Strickland PLC,1997-09,70781.92,35332.67,35449.25
Smith-Prince,2007-03,74795.85,17263.19,57532.66
Salazar and Sons,2016-07,73686.21,72541.69,1144.520000000004
Mills PLC,1981-01,14749.54,11642.87,3106.67
"Black, Brown and Sweeney",1996-07,80682.23,80365.37,316.8600000000006
Bell-Campos,2007-08,64428.31,18539.1,45889.21
"Myers, Bradley and Taylor",2014-11,49090.89,10033.09,39057.8
"Costa, Howe and Harris",1993-12,38555.24,12820.49,25734.75
"Wilkerson, Ward and Elliott",1985-07,49644.1,16899.49,32744.609999999997
Yang-Burke,2017-08,33041.68,18723.05,14318.630000000001
"Crane, Smith and Bright",2002-05,45611.97,21526.07,24085.9
Fields Inc,2012-04,14689.49,11638.47,3051.0200000000004
Nguyen Group,1988-04,49212.17,27951.03,21261.14
Curtis-Kim,2010-10,18637.47,10714.4,7923.0700000000015
Rice-Benjamin,2001-09,81121.72,27255.68,53866.04
Cook Group,2017-03,84649.11,53560.72,31088.39
"Berger, Baker and Frazier",2018-09,12458.99,10827.03,1631.9599999999991
"Perry, Little and Meyer",1997-01,19296.77,10042.85,9253.92
Whitehead Ltd,2020-01,56445.21,54733.23,1711.979999999996
Hudson PLC,2013-03,94166.69,93510.53,656.1600000000035
Huff-Kaiser,1972-06,69930.37,32180.48,37749.89
Curtis Ltd,2022-10,29648.17,11756.46,17891.71
Vasquez-Martinez,1981-12,43250.57,34372.89,8877.68
"Miller, Fisher and Reed",1980-03,57772.26,31540.04,26232.22
Lowe and Sons,1992-10,84267.63,33133.8,51133.83
Werner-Goodwin,2002-07,21435.69,12092.12,9343.569999999998
Roberts-Owen,1988-06,49243.5,27136.94,22106.56
"Curry, Simmons and Villegas",1975-04,95233.48,45789.25,49444.229999999996
Norman-Lin,2024-01,29825.0,27327.78,2497.220000000001
Johnson LLC,2008-12,70850.97,45771.21,25079.760000000002
Baker and Sons,1977-10,84989.27,22442.3,62546.97
Delgado PLC,1990-10,67273.79,37271.99,30001.799999999996
Elliott LLC,1991-10,51070.61,16459.31,34611.3
"Church, Dennis and Walton",2013-12,98429.13,19021.59,79407.54000000001
Stein-Gomez,1970-02,37291.21,36047.1,1244.1100000000006
Walker Inc,2008-12,63015.67,17871.17,45144.5
"Jackson, Callahan and Robinson",2016-01,32220.05,31854.32,365.72999999999956
Ruiz Ltd,2006-11,47379.52,19658.45,27721.069999999996
"Miller, Shepherd and Frederick",2004-08,36070.7,12144.47,23926.229999999996
"Fields, Webster and Chandler",2005-08,54460.36,15125.95,39334.41
Vargas-Walsh,1987-03,94990.96,55172.3,39818.66
Myers and Sons,2013-04,29852.05,14914.74,14937.31
Powell-Hodges,2023-04,84967.01,30879.9,54087.10999999999
Lewis-Nguyen,1994-01,18107.22,14221.98,3885.2400000000016
Hayes PLC,2003-10,14540.46,10496.24,4044.2199999999993
"Walker, Gilbert and Montgomery",1984-05,48672.63,45792.04,2880.5899999999965
"Abbott, Clark and Rios",2009-07,56337.06,50734.82,5602.239999999998
"Thompson, Brooks and Harris",2024-02,28358.02,26739.01,1619.010000000002
Williams-Kramer,1998-10,29892.82,16668.28,13224.54
Mclaughlin-Vasquez,2007-06,27948.87,14975.01,12973.859999999999
"Lane, Boyd and Davis",1970-02,47813.87,26210.46,21603.410000000003
"Steele, Wallace and Cruz",1983-03,84011.26,57644.41,26366.84999999999
"Douglas, Taylor and Hill",2018-09,73885.02,68534.57,5350.449999999997
"Madden, Williams and Lawrence",1971-03,81570.12,74720.25,6849.869999999995
Morris-Espinoza,2020-09,52562.62,24281.81,28280.81
"Lawson, Olson and Johnson",2010-03,16976.07,10022.68,6953.389999999999
Mitchell-George,2017-03,96654.0,93554.29,3099.7100000000064
Williams-Rhodes,1999-03,77965.4,37718.44,40246.95999999999
Wood LLC,2003-05,61533.91,37960.73,23573.18
Evans-Wilson,2020-04,34212.14,30622.55,3589.59
"Mullen, Johnson and Ford",2007-12,37038.78,18749.28,18289.5
Bowers-Johnson,2015-04,87515.84,82630.89,4884.949999999997
Martinez-Robinson,2006-04,93287.64,60863.2,32424.440000000002
Cain PLC,2004-09,79494.31,43661.8,35832.509999999995
Mcguire-Williams,1973-02,92483.41,90052.13,2431.279999999999
Horn-Wilson,2019-03,73031.07,68067.19,4963.880000000005
Coleman Inc,1977-09,34770.03,20820.48,13949.55
"Singh, Fitzgerald and Jones",2001-03,16313.45,11864.25,4449.200000000001
French and Sons,2020-02,81174.2,39367.72,41806.479999999996
Gonzalez PLC,1970-02,33699.95,27270.21,6429.739999999998
Acosta and Sons,1997-02,67473.22,23848.34,43624.880000000005
Williams-Wright,2013-01,81627.22,61781.47,19845.75
"Giles, Hernandez and Ramirez",1973-06,74052.1,64031.29,10020.810000000005
Wright-Henry,2007-04,39587.0,25698.18,13888.82
"Powell, Holmes and Lyons",2018-03,59177.91,39505.41,19672.5
Romero PLC,1979-09,16577.95,11351.83,5226.120000000001
"Brown, Potter and Mccann",1996-02,96927.69,89559.45,7368.240000000005
Brown-Keller,2013-08,75099.41,45734.82,29364.590000000004
Moore-Brock,2011-04,93370.91,32593.89,60777.020000000004
Brown-Lee,2024-01,42608.89,25764.28,16844.61
Lamb-Roberts,2014-10,80344.87,43476.75,36868.119999999995
"Fernandez, Lopez and Gross",2003-05,94497.67,16308.31,78189.36
Thomas and Sons,1992-09,69367.22,55156.62,14210.599999999999
Smith Inc,1985-12,36068.79,14395.52,21673.27
Bailey Inc,1975-05,96109.19,38115.1,57994.090000000004
"Cox, Anderson and Perez",2019-09,11811.29,10211.57,1599.7200000000012
Wood Ltd,1997-04,60758.17,39931.35,20826.82
"Wright, Charles and Luna",2023-08,78614.22,75898.32,2715.899999999994
"Johnson, Lopez and Newton",2000-08,95794.19,60748.26,35045.93
Pearson LLC,1987-10,55200.16,52915.48,2284.6800000000003
Robinson-Smith,1971-10,64184.71,55913.19,8271.519999999997
"Eaton, Wagner and Cole",1989-10,91813.71,75645.24,16168.470000000001
"Williams, Lawrence and Hernandez",2022-12,84472.7,31144.71,53327.99
Perkins-Trevino,2015-09,41481.81,41075.17,406.6399999999994
"Howard, Vargas and Merritt",1986-07,67013.69,64192.38,2821.310000000005
"Peck, Pittman and Ruiz",1979-03,57762.28,11609.27,46153.009999999995
Best-Patterson,1981-02,31585.22,30816.37,768.8500000000022
"Bentley, Smith and Rojas",2019-06,42705.47,30882.25,11823.220000000001
Stanton Inc,2008-05,86315.43,13116.72,73198.70999999999
Clark-Doyle,2023-04,83569.64,46960.64,36609.0
Fields Group,2010-04,90871.79,79658.32,11213.469999999987
Williams-Andersen,1997-12,56161.72,21371.25,34790.47
Torres-Walter,1982-01,80816.02,40423.67,40392.350000000006
"Davidson, Pearson and Mcmillan",2011-02,92933.94,11573.95,81359.99
"Rhodes, Young and Ortega",2003-07,55182.27,53373.69,1808.5799999999945
Russell-Price,1971-03,52537.53,48580.0,3957.529999999999
Gonzalez-Stephens,2012-08,41116.84,34418.6,6698.239999999998
Snyder-Carney,2024-04,54497.37,42773.28,11724.090000000004
Wilson PLC,1970-01,90264.64,66161.1,24103.539999999994
"Gibson, Williams and Davis",1992-03,86559.03,67080.35,19478.679999999993
Ortiz Inc,2009-09,25175.75,23536.59,1639.1599999999999
Bruce LLC,1978-07,80658.46,48223.19,32435.270000000004
Joyce Inc,2014-08,71890.73,60288.54,11602.189999999995
Martinez LLC,2003-01,16413.33,15914.82,498.51000000000204
"Jones, Reynolds and Martin",1994-07,84215.95,16150.29,68065.66
Rogers Group,2006-10,76655.26,58551.31,18103.949999999997
"Rivera, Rhodes and Freeman",2011-07,66403.21,42046.36,24356.850000000006
Edwards and Sons,2015-08,90344.75,68800.24,21544.509999999995
Smith and Sons,1986-10,11116.96,10657.44,459.5199999999986
Vega and Sons,1985-01,96285.98,76554.82,19731.15999999999
Pearson LLC,1975-04,18951.21,18809.14,142.0699999999997
"Davis, Thomas and Gaines",2000-10,43589.39,15338.53,28250.86
"Kline, Powell and Hill",2014-09,29766.98,28381.47,1385.5099999999984
"Harris, Young and Tate",1971-05,23019.68,14467.13,8552.550000000001
Alexander-Poole,1994-05,24909.39,18540.02,6369.369999999999
Fisher LLC,2012-07,40468.82,14841.4,25627.42
Bell-Robertson,1973-07,34423.84,12621.28,21802.559999999998
Jones LLC,1970-05,90060.58,64213.65,25846.93
"Wilson, Terry and Davis",1985-02,83815.29,40152.23,43663.05999999999
"Lopez, Parker and Petersen",1995-12,20604.4,11656.22,8948.180000000002
"Tyler, Shepherd and Jacobs",1990-06,29564.55,17279.23,12285.32
Gonzalez-Erickson,2004-06,39635.52,37407.69,2227.8299999999945
Thomas-Hudson,1977-05,14759.17,10367.16,4392.01
Bell-Brooks,1999-12,86014.88,71304.73,14710.150000000009
Chaney LLC,2018-01,66798.4,53816.22,12982.179999999993
Wall PLC,1976-10,75051.89,18146.33,56905.56
Mccarty LLC,1976-11,55213.81,12409.36,42804.45
Harrington-Hall,2017-01,74841.28,37873.07,36968.21
Yang-Cook,2010-03,47713.76,19559.63,28154.13
Jones PLC,2008-03,15402.42,13065.88,2336.540000000001
Ramirez Group,1971-05,17464.46,15388.09,2076.369999999999
"Lopez, Collins and Welch",2018-05,84990.1,44373.53,40616.57000000001
Sullivan-Perry,1992-01,17283.95,10449.56,6834.390000000001
Galvan-Murray,1971-08,53328.84,29476.6,23852.239999999998
Mcdaniel PLC,1987-10,52721.21,34214.76,18506.449999999997
Perez-Flowers,2013-07,98532.3,64512.24,34020.060000000005
"Williams, Morrison and Schultz",1994-11,55755.61,10429.64,45325.97
Lowe-Soto,2017-09,96848.52,48136.79,48711.73
"Weber, Waller and Harmon",1970-01,11854.2,11348.27,505.9300000000003
"Bean, Ortiz and Rhodes",2012-07,56103.7,27675.82,28427.879999999997
Rogers Inc,2007-03,18459.41,13996.79,4462.619999999999
"Bautista, Giles and Obrien",1977-08,46272.37,35270.74,11001.630000000005
Solis-Day,1981-02,21302.0,10541.65,10760.35
"Rogers, Phillips and Mcdaniel",2015-04,63479.69,48943.46,14536.230000000003
James Ltd,1974-09,87500.65,76517.77,10982.87999999999
Peterson-Mendoza,2010-08,47545.02,31746.09,15798.929999999997
Vasquez Ltd,2013-12,32755.01,16496.65,16258.359999999997
Velasquez-Lewis,2001-06,93141.94,75350.11,17791.83
"Phillips, Nguyen and Washington",2003-01,23077.62,17586.5,5491.119999999999
Diaz-Strickland,2010-08,73085.0,67961.76,5123.240000000005
"Shah, Robinson and Parker",2002-01,87309.58,29147.74,58161.84
"Lawrence, Lopez and Mitchell",2015-11,64902.76,21834.8,43067.96000000001
Davila Ltd,2016-03,27217.72,10944.4,16273.320000000002
Thompson and Sons,2016-03,66684.33,59591.88,7092.450000000004
"Harris, Hudson and Perez",2007-03,28867.41,15131.95,13735.46
"Scott, Fernandez and Rowe",2012-03,53936.88,49923.02,4013.8600000000006
Spencer LLC,1981-01,34015.78,25075.9,8939.879999999997
"Becker, Mcgee and Anderson",2005-01,90713.76,74211.82,16501.939999999988
Roach Inc,1988-02,29099.29,18288.71,10810.580000000002
Evans-Roth,2010-09,82056.68,79498.08,2558.5999999999913
Kelly Group,2004-11,40383.94,28636.26,11747.680000000004
Anderson Inc,1981-12,60510.52,37662.01,22848.509999999995
"Glover, Brown and Gonzalez",1991-06,41878.77,25944.81,15933.959999999995
Shields Inc,2022-01,17737.69,16879.18,858.5099999999984
Jackson-Gardner,2004-07,52825.64,43240.11,9585.529999999999
Wagner and Sons,1985-08,14734.88,14206.36,528.5199999999986
Walton-Vasquez,2007-03,52144.15,23697.25,28446.9
"May, Stewart and Kelley",1996-08,83365.39,60335.21,23030.18
"Zimmerman, Fox and Chavez",1977-05,12800.11,10069.52,2730.59
"Perez, Johnson and Sanchez",1981-02,69301.17,12155.86,57145.31
Beck Inc,2003-04,64338.92,12304.37,52034.549999999996
Avery-Watson,2014-02,48497.04,26587.56,21909.48
King and Sons,1995-08,73254.73,38855.73,34398.99999999999
Crosby Inc,1978-01,81909.63,16191.69,65717.94
Yates-Calderon,2015-03,84145.21,44705.38,39439.83000000001
Douglas-Richards,1996-06,34625.16,14019.15,20606.010000000002
Mcneil-Silva,2014-11,36123.41,18414.36,17709.050000000003
"Velasquez, Fernandez and Olson",1998-06,21813.84,17144.16,4669.68
Jackson Group,1985-04,46548.61,19115.64,27432.97
Stein-Wheeler,1994-09,25888.48,12791.52,13096.96
Guzman-Jackson,1984-08,30888.92,17606.53,13282.39
Hayden Ltd,1996-11,34470.61,22211.11,12259.5
"Alvarez, Vega and Larson",1973-07,90715.83,25499.14,65216.69
"Bautista, Johnson and Villegas",2010-09,23323.25,10196.16,13127.09
Wiley-Hanna,1988-04,44646.14,31820.92,12825.220000000001
Randall Inc,2004-05,22870.94,15867.09,7003.8499999999985
Mitchell-Cruz,1991-12,70899.18,69688.66,1210.5199999999895
"Rodriguez, Arnold and Holt",2022-04,23880.08,21570.2,2309.880000000001
Reyes-Avila,2004-08,10452.75,10385.34,67.40999999999985
Hood-Jenkins,1981-07,15177.8,13681.54,1496.2599999999984
"Butler, Peterson and Stanley",1983-12,34373.47,25011.59,9361.880000000001
Stevens-Mcintyre,1990-10,29393.53,26820.62,2572.91
"Chambers, Morris and Wagner",1986-02,55306.17,50362.26,4943.909999999996
Mcintyre Group,2001-02,11854.75,11553.35,301.39999999999964
"Clark, Brown and Johnson",1992-09,25882.08,17395.74,8486.34
Bailey Inc,1981-01,47751.54,34169.65,13581.89
Moore-King,1980-02,16355.11,13430.66,2924.4500000000007
Ward PLC,1989-08,25890.49,19477.59,6412.9000000000015
Day-Mcguire,1992-06,67275.82,21064.43,46211.39000000001
"Parker, Barton and Houston",1980-12,32047.59,30368.32,1679.2700000000004
George-Hall,1970-09,58224.37,18539.12,39685.25
"Becker, Robinson and Pearson",2009-08,58086.71,35682.61,22404.1
Miller-Chandler,1973-08,17836.01,17311.91,524.0999999999985
"Williams, Harris and Frost",1990-09,96448.45,65968.06,30480.39
Berry Group,2021-12,52008.48,29332.78,22675.700000000004
Gibson Inc,1978-04,74535.8,18697.58,55838.22
"Osborn, Pham and Moore",1980-10,76852.01,43171.62,33680.38999999999
"Mullins, Thompson and Pham",1985-09,59540.41,54258.76,5281.6500000000015
Gibson-Potts,1980-06,21317.34,13370.25,7947.09
Jordan-Porter,1978-10,55350.53,35016.73,20333.799999999996
Bryan-Roberts,1988-04,10852.52,10220.73,631.7900000000009
"Pham, King and Allen",2006-10,32850.55,17517.09,15333.460000000003
"Hall, Wiley and Smith",2023-09,48275.83,16036.78,32239.050000000003
"Boyle, Becker and Brown",2009-03,61464.24,29128.49,32335.749999999996
Ellis Group,1981-10,95169.07,84849.75,10319.320000000007
"Whitehead, Adams and Cunningham",2008-02,32923.75,22580.32,10343.43
Hill-Hensley,2008-08,48531.44,16717.94,31813.500000000004
Osborne Group,1990-08,54125.99,31327.52,22798.469999999998
"Page, Marshall and Beasley",1987-11,99160.43,11864.57,87295.85999999999
"Goodman, Benson and Collins",2009-07,83743.92,10474.02,73269.9
Gallegos PLC,2012-03,95860.62,82421.41,13439.209999999992
Lynch-Lopez,1979-06,34000.84,18524.31,15476.529999999995
"Neal, Henderson and Peterson",2015-09,23385.97,18888.67,4497.300000000003
Hubbard-Deleon,1975-09,66762.27,62494.41,4267.860000000001
Harmon Ltd,1986-03,46273.92,31930.81,14343.109999999997
Carr-Nielsen,2005-03,15292.05,14356.03,936.0199999999986
"Love, Anderson and Castaneda",1971-08,13778.46,11754.24,2024.2199999999993
Rocha Ltd,2006-03,41304.88,13623.48,27681.399999999998
Lloyd and Sons,1994-03,99611.19,62383.23,37227.96
"Ortega, Hubbard and Martinez",1977-11,81368.31,51292.44,30075.869999999995
"Atkins, Pitts and Holmes",2018-03,36916.18,12181.28,24734.9
"Hayes, Morgan and Adkins",1997-09,13801.16,10419.01,3382.1499999999996
Wolf-Cooper,1991-04,67942.76,61429.44,6513.319999999992
"Benitez, Byrd and Ibarra",1974-02,36993.16,20795.55,16197.610000000004
"Moore, Ferrell and Jones",2006-05,87698.43,52013.98,35684.44999999999
"King, Lewis and Tran",2007-11,12400.5,12019.27,381.22999999999956
Johnson-Chapman,2020-01,34253.34,23492.19,10761.149999999998
"Robertson, Lopez and Nielsen",1997-03,65493.06,13690.82,51802.24
Cunningham Ltd,1995-12,75946.11,71577.19,4368.919999999998
Smith Inc,1982-11,53513.26,18665.4,34847.86
"Lindsey, White and Gallegos",2022-09,51445.03,27812.09,23632.94
Cunningham-Clark,2021-09,11763.62,11688.26,75.36000000000058
"Marshall, Cole and Navarro",1973-05,36963.26,12588.89,24374.370000000003
Collins-Turner,2017-07,26214.11,14407.65,11806.460000000001
"Baxter, Smith and White",2002-04,37905.03,21716.15,16188.879999999997
Douglas-Roberts,1990-03,27410.97,19346.63,8064.34
"Rich, Wright and Martinez",2015-09,62673.67,21592.27,41081.399999999994
Cunningham PLC,1989-12,58729.01,43174.1,15554.910000000003
White-Lozano,1999-10,24638.07,20864.21,3773.8600000000006
Miranda-Jackson,2000-12,91522.16,12368.99,79153.17
Norton-Andersen,1996-07,42629.85,30717.0,11912.849999999999
"Webb, Diaz and Brock",1998-09,59573.28,25523.47,34049.81
Randall Group,1991-05,21177.01,14478.95,6698.059999999998
Lewis Inc,1980-11,32989.16,24165.1,8824.060000000005
Smith Group,2007-01,85218.21,84539.59,678.6200000000099
"Baldwin, Peterson and Hoffman",2013-08,95905.78,27370.34,68535.44
"Benjamin, Long and Carey",1989-02,86413.65,14759.08,71654.56999999999
Merritt PLC,2006-06,50515.82,47456.42,3059.4000000000015
"Rodriguez, Russell and Barton",1976-01,59702.97,12291.6,47411.37
"Lane, Rodriguez and Elliott",2002-09,82494.02,73710.35,8783.669999999998
Johnson-Bradford,2023-04,78358.95,73745.79,4613.1600000000035
Romero LLC,1986-08,39668.69,26599.81,13068.880000000001
Potter-Liu,2022-08,45414.38,42086.52,3327.8600000000006
"Johnson, Berg and Mullins",2008-05,46514.82,37930.42,8584.400000000001
"Bates, Garcia and Mayer",1993-06,40648.5,19147.93,21500.57
Johnson-Richardson,2007-05,44642.08,27250.78,17391.300000000003
"Thompson, Gibson and Cummings",1980-11,66882.6,42633.39,24249.210000000006
Moore Inc,1992-12,90449.13,24590.65,65858.48000000001
Watts-Henderson,2016-03,32436.8,13849.21,18587.59
Brown-Foster,1992-06,77592.12,12409.8,65182.31999999999
"Perez, Gamble and Underwood",1992-08,15304.03,10018.45,5285.58
"Williams, Sanders and Fisher",1996-04,83926.65,57685.57,26241.079999999994
Ellis Group,1975-02,86746.2,19137.88,67608.31999999999
Zimmerman-Henderson,2011-10,16268.12,12756.14,3511.9800000000014
Flores-Alvarez,1972-05,30164.21,16710.19,13454.02
Frazier-Noble,2011-06,55811.0,14313.75,41497.25
"Sloan, Munoz and Lynch",2015-07,87415.24,78134.85,9280.39
Williams-Gomez,1983-06,37084.59,20033.84,17050.749999999996
Meza Ltd,1994-04,37300.76,11790.78,25509.980000000003
Mcdowell-Mejia,1973-02,27528.07,22593.11,4934.959999999999
Curtis-Johnston,2015-11,62837.7,41373.22,21464.479999999996
"Henry, Fernandez and Hill",1989-08,98093.14,27262.64,70830.5
Pratt-Lewis,2003-05,43470.88,41316.7,2154.1800000000003
"Phillips, George and Baker",1986-04,37116.44,12520.46,24595.980000000003
"Casey, Hill and Valdez",2001-12,51549.27,36080.76,15468.509999999995
"Johnson, George and Stevens",2017-06,58793.32,41551.53,17241.79
Scott-Allen,1971-01,72248.26,11560.4,60687.85999999999
Williams-Stout,1986-08,25328.89,19571.46,5757.43
Mejia-Knight,1984-05,66638.14,19435.52,47202.619999999995
Mueller PLC,2013-04,45346.75,22811.6,22535.15
Smith-Farmer,2004-03,13288.16,11522.69,1765.4699999999993
Glover-Reed,2006-04,21525.25,19298.65,2226.5999999999985
Smith PLC,1972-05,52178.88,22267.77,29911.109999999997
"Franklin, West and Acevedo",1991-07,83094.71,49618.54,33476.170000000006
Dorsey-Richards,1983-06,80678.91,42293.33,38385.58
"Brown, Bowman and Brown",1976-04,72620.34,12161.22,60459.119999999995
Taylor-Hernandez,2001-09,75785.53,13878.94,61906.59
Lopez-Russell,2022-02,57677.53,37401.33,20276.199999999997
Roth-Lewis,1999-04,20112.39,16118.03,3994.3599999999988
Boyer-Diaz,2009-08,53056.98,51717.85,1339.1300000000047
Simmons Group,1985-08,83264.31,53786.52,29477.79
Brown and Sons,2022-09,90301.62,63814.56,26487.059999999998
Walker Ltd,2012-09,89254.73,61188.0,28066.729999999996
Calhoun-Murphy,2015-04,45289.13,14591.28,30697.85
Williams-Johnson,1975-10,49148.29,13833.24,35315.05
Little LLC,1973-04,24831.18,22106.16,2725.0200000000004
"Lee, Hall and Freeman",2017-03,58498.18,58297.75,200.4300000000003
"Black, Burns and Castro",1979-05,45066.07,37649.44,7416.629999999997
Spencer-Davis,1975-08,17943.56,15530.79,2412.7700000000004
Berry-Malone,2003-07,56681.69,33373.73,23307.96
Moyer-Smith,1977-07,97999.34,66558.04,31441.300000000003
"Morse, Cox and Barnett",1998-03,35354.47,34420.75,933.7200000000012
Garner-White,2009-11,28307.7,18686.25,9621.45
Liu LLC,1978-01,38987.3,28782.83,10204.470000000001
"Perez, Strickland and Jones",2018-10,93631.72,44881.74,48749.98
Barker and Sons,1976-07,42254.68,17968.31,24286.37
Hall-Foster,2020-11,77399.94,17665.6,59734.340000000004
"Sutton, Ochoa and Walker",1982-04,23703.81,13544.2,10159.61
"Webster, Smith and Cox",2014-02,93649.87,17089.23,76560.64
Bates-Mills,2018-03,35736.04,23558.87,12177.170000000002
Martin-Fox,2017-03,94697.85,18628.43,76069.42000000001
Montgomery Inc,2023-04,62705.58,13188.33,49517.25
Hunter Inc,1974-09,98404.55,80340.38,18064.17
Bell Group,2017-01,18187.15,15185.73,3001.420000000002
Berry-Stewart,2020-02,84834.4,56665.15,28169.249999999993
"Stanley, Rice and Lara",1979-02,21271.74,13460.38,7811.360000000002
Middleton-Bruce,1980-04,17462.83,13807.8,3655.0300000000025
Jones-Olson,1974-05,54724.9,29980.05,24744.850000000002
"Kennedy, Nelson and Key",1983-05,45731.07,41229.61,4501.459999999999
Rhodes LLC,2006-07,87042.59,65614.89,21427.699999999997
"Baker, Cook and Adams",1999-12,16371.88,15567.81,804.0699999999997
Alexander Ltd,1999-06,80690.85,77249.78,3441.070000000007
Cooke Ltd,1989-04,48039.08,32176.68,15862.400000000001
Patterson Ltd,1998-07,37352.65,10390.56,26962.090000000004
Garcia-Andersen,1997-04,94751.08,69984.12,24766.960000000006
Diaz-Martin,1973-03,90276.57,47710.95,42565.62000000001
Davis Group,2020-07,45942.39,36227.87,9714.519999999997
Harrington Ltd,2002-05,96224.02,71173.48,25050.540000000008
Watson-Moreno,2002-10,12249.64,12242.53,7.109999999998763
"Durham, Kennedy and Duffy",1984-01,48593.32,46390.06,2203.260000000002
Dean Inc,1983-12,20155.33,14981.06,5174.270000000002
"Coffey, Walker and Rodriguez",1999-08,23209.47,17542.92,5666.550000000003
"Wilson, Pitts and Williams",1977-05,17487.49,14822.48,2665.010000000002
Pope-Cunningham,1975-11,36757.09,13430.9,23326.189999999995
Gates-Santos,2023-06,44183.68,26793.36,17390.32
"Johnson, Collins and Smith",2002-09,83523.85,56306.8,27217.050000000003
Sanchez-White,1983-11,83784.06,38580.29,45203.77
White LLC,2019-07,99385.97,39587.31,59798.66
Nelson and Sons,1986-06,99275.24,58992.66,40282.58
"Stanley, Lawson and Brown",1998-07,75863.72,24817.74,51045.979999999996
Davis-Coffey,2003-10,60708.1,43857.27,16850.83
Griffith-Hinton,1978-06,42773.97,23810.79,18963.18
Adkins-Meyer,1989-02,18824.05,18593.52,230.52999999999884
"Perez, West and Williams",1987-05,87946.78,49526.79,38419.99
"Bailey, Williams and Lopez",1986-10,42205.17,23280.3,18924.87
Peters PLC,1974-10,33239.46,21967.83,11271.629999999997
Garner LLC,1990-01,80699.22,24367.7,56331.520000000004
Wilson Ltd,1999-10,91650.61,21427.54,70223.07
Sims-Ponce,2017-01,76506.11,34245.33,42260.78
"Graves, Williams and Wall",2015-10,20882.33,19827.81,1054.5200000000004
Marquez-Nichols,2000-03,40104.66,12977.9,27126.760000000002
Medina PLC,1988-09,72004.3,31091.89,40912.41
Coleman Inc,2015-04,45927.87,35034.57,10893.300000000003
"Johnson, Lee and Moses",1984-08,50343.14,44204.59,6138.550000000003
Oliver Inc,2019-07,56014.76,31984.8,24029.960000000003
"Mcgrath, Bell and Hernandez",2024-03,49803.25,12762.98,37040.270000000004
"Rogers, Boyd and Hardy",1997-05,63691.34,29569.6,34121.74
"Miller, Martinez and Smith",1990-12,56607.16,36084.31,20522.850000000006
"Day, Young and Jones",1972-10,52010.98,24105.77,27905.210000000003
"Green, Cameron and Thompson",1995-06,59788.72,27020.3,32768.42
Gutierrez Ltd,2018-05,89846.43,80627.91,9218.51999999999
Goodwin-Ward,2016-06,60721.29,11521.98,49199.31
Cameron Group,1983-11,95659.66,49529.68,46129.98
"Hutchinson, Mcdonald and Compton",1995-01,47070.2,14335.15,32735.049999999996
Brooks-Medina,1976-09,71736.4,47077.57,24658.829999999994
Collins-Moreno,1972-11,60566.47,59243.23,1323.239999999998
"Smith, Ward and Moody",1996-07,73758.85,23632.18,50126.670000000006
Roman LLC,2002-08,58012.28,13182.75,44829.53
